Key	Th_Name	Th_Description	En_Name	En_Description
fur_007	หุ่นไล่กา	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Scarecrow	Description for Furniture 007
fur_008	รถเข็น	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Trolley	Description for Furniture 008
fur_009	กองไฟ	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Bonfire	Description for Furniture 009
fur_010	บ่อน้ำ	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Well	Description for Furniture 010
fur_011	เนินดิน	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Mound	Description for Furniture 011
fur_012	น้ำตก	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Waterfall	Description for Furniture 012
fur_013	บังกะโล	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Cottage	Description for Furniture 013
fur_014	เฟอร์นิเจอร์014	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Furniture 014	Description for Furniture 014
ITEM_ISLAND_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
land_001	เกาะสวรรค์เขียวขจี		Grass Island	Description for Island 001
land_002	เกาะสวรรค์แบบทะเลทราย	เกาะสวรรค์ทะเลทราย ให้บรรยากาศแบบ... ยังคิดไม่ออกค่ะ	Sand Island	Description for Island 002
land_003	เกาะสวรรค์แบบฤดูใบไม้ร่วง	เกาะสวรรค์สีแดง ที่พื้นที่ภายในเกาะ ถูกปกคลุมไปด้วยต้นไม้ ใบหญ้าที่กำลังอยู่ในช่วงฤดูใบไม้ร่วง	Autumn Island	Description for Island 003
land_004	เกาะสวรรค์สุดแกร่ง	เกาะสวรรค์สุดแกร่ง ที่ทั้งเกาะรายล้อมไปด้วยแร่ต่าง ๆ และก้อนหินมากมาย	Snow Island	Description for Island 004
land_005	เกาะสวรรค์สีขาว 	เกาะสวรรค์สีขาว สุดหนาวเหน็บ ที่พื้นที่ภายในเกาะ ถูกปกคลุมไปด้วยหิมะสีขาวโพลน	Iced Island	Description for Island 005
land_006	เกาะสวรรค์สุดเย็นเจี๊ยบ 	เกาะสวรรค์สุดเย็นเจี๊ยบ ที่พื้นที่ทั้งเกาะ เต็มไปด้วยหิมะและน้ำแข็ง	Rock Island	Description for Island 006
m_stat_001	เล่นมินิเกม		Play Mini Game	
m_stat_002	ทำกิจกรรมรักษ์โลก		Keep Mini Event	
m_stat_010	ทำกิจกรรมรักษ์โลกเยอะๆ		Keep Mini Event	
m_stat_003	ปลูกต้นไม้ให้งอกงาม		Keep Tree	
m_stat_008	ปลูกต้นไม้ให้งอกงามเยอะๆ		Keep Tree	
m_stat_004	รดน้ำต้นไม้		Tree Water	
m_stat_005	เก็บทอง		Collect Coin	
m_stat_006	เก็บคาร์บอนเครดิต		Keep Carbon	
m_stat_007	เก็บคาร์บอนเครดิตเยอะๆ		Keep Carbon	
m_stat_009	ใช้ทอง		Use Coin	
m_ex_001	ยูคาลิปตัส แลกรางวัล		Exchange Tree	
m_ex_002	สนประดิพัทธ์ แลกรางวัล		Exchange Tree	
m_ex_003	ไผ่ แลกรางวัล		Exchange Tree	
m_ex_004	กระถินณรงค์ แลกรางวัล		Exchange Tree	
m_ex_005	สนทะเล แลกรางวัล		Exchange Tree	
m_ex_006	ตะกู แลกรางวัล		Exchange Tree	
m_ex_007	สะเดา แลกรางวัล		Exchange Tree	
m_ex_008	มะฮอกกานี แลกรางวัล		Exchange Tree	
m_ex_009	ยูคาลิปตัส แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_010	สนประดิพัทธ์ แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_011	ไผ่ แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_012	กระถินณรงค์ แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_013	สนทะเล แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_014	ตะกู แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_015	สะเดา แลกรางวัลเยอะๆ		Exchange Tree	
m_ex_016	มะฮอกกานี แลกรางวัลเยอะๆ		Exchange Tree	
a_001	นักสะสมทอง I		Coin Collector I	
a_002	นักสะสมทอง II		Coin Collector II	
a_003	นักสะสมทอง III		Coin Collector III	
a_004	นักสะสมคาร์บอนเครดิต I		Carbon Credit Collector I	
a_005	นักสะสมคาร์บอนเครดิต II		Carbon Credit Collector I	
a_006	นักสะสมคาร์บอนเครดิต III		Carbon Credit Collector III	
a_007	จับจ่ายใช้สอย		Coin Spender	
a_008	เก็บหอมรอมริบ		Coin Saver	
a_009	นักแลกคาร์บอนเครดิต		Carbon Credit Exchanger	
a_010	เจ้าแห่งบัวรดน้ำ		Watering Can Master	
a_011	เจ้าแห่งปุ๋ย		Fertilizer Master	
a_012	นักแลกเปลี่ยนของรางวัล		Gift Redeemer	
a_013	เจ้าแห่งมินิเกม		King of Mini Games	
a_014	เทพีแห่งการรดน้ำ I		Goddess of Watering I	
a_015	เทพีแห่งการรดน้ำ II		Goddess of Watering II	
a_016	เทพีแห่งการรดน้ำ III		Goddess of Watering III	
a_017	ยูคาลิปตัส เลิฟเวอร์		Eucalyptus Lover	
a_018	สนประดิพัทธ์ เลิฟเวอร์		Mountain Ru Lover	
a_019	ไผ่ เลิฟเวอร์		Bamboo Lover	
a_020	กระถินณรงค์ เลิฟเวอร์		Northern Black Wattle Lover	
a_021	สนทะเล เลิฟเวอร์		Australian Pine Lover	
a_022	ตะกู เลิฟเวอร์		Bur-flower Tree Lover	
a_023	สะเดา เลิฟเวอร์		Siamese Neem Tree Lover	
a_024	มะฮอกกานี เลิฟเวอร์		Mahogany Lover	
a_025	นักปลูกต้นไม้ I		Tree Planter I	
a_026	นักปลูกต้นไม้ II		Tree Planter II	
a_027	นักปลูกต้นไม้ III		Tree Planter III	
a_028	นักปลูกต้นไม้ IV		Tree Planter IV	
a_029	นักปลูกต้นไม้ V		Tree Planter V	
a_030	นักปลูกต้นไม้ VI		Tree Planter VI	
a_031	นักปลูกต้นไม้ VII		Tree Planter VII	
a_032	นักปลูกต้นไม้ VIII		Tree Planter VIII	
a_033	สามัญ			
a_034	นักอนุรักษ์			
a_035	นักอนุรักษ์ตัวยง			
a_036	นักอนุรักษ์ระดับชำนาญ			
a_037	นักอนุรักษ์ชั้นสูง			
a_038	นักอนุรักษ์ระดับปรมาจารย์			
a_039	นักอนุรักษ์ระดับมหากาพย์			
a_040	นักอนุรักษ์ในตำนาน			
a_041	นักอนุรักษ์ขั้นเทพ			
a_042	โลกสวยด้วยมือเรา I		Green Activist I	
a_043	โลกสวยด้วยมือเรา II		Green Activist II	
a_044	โลกสวยด้วยมือเรา III		Green Activist III	
a_045	เติบโตมาจน เลเวล 5		Reached Level 5	
a_046	เติบโตมาจน เลเวล 10		Reached Level 10	
a_047	เติบโตมาจน เลเวล 15		Reached Level 15	
a_048	เติบโตมาจน เลเวล 20		Reached Level 20!	
a_049	เติบโตมาจนป่านนี้ เลเวล 30 แล้ว		Reached Level 30!!	
PROFILE_DASHBOARD	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
tree_planted	ปลูก{0} สำเร็จแล้ว	ปลูกต้นไม้สำเร็จแล้ว	{0} planted	Tree planted.
keep_tree	ปลูกต้นไม้ทั้งหมด	ปลูกต้นไม้ทั้งหมด	Total Tree Planted	Total Tree Planted
keep_watertree	รดน้ำต้นไม้ทั้งหมด	รดน้ำต้นไม้ทั้งหมด	Total Tree Watered	Total Tree Watered
island_count	จำนวนเกาะส่วนตัว	จำนวนเกาะส่วนตัว	Island Owned	Island Owned
achievement_completed	บรรลุความสำเร็จ	บรรลุความสำเร็จ	Achievement Completed	Achievement Completed
RANK	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
rank_01	มือใหม่			
rank_02	สามัญ			
rank_03	นักอนุรักษ์			
rank_04	นักอนุรักษ์ตัวยง			
rank_05	นักอนุรักษ์ระดับชำนาญ			
rank_06	นักอนุรักษ์ชั้นสูง			
rank_07	นักอนุรักษ์ระดับปรมาจารย์			
rank_08	นักอนุรักษ์ระดับมหากาพย์			
rank_09	นักอนุรักษ์ในตำนาน			
rank_10	นักอนุรักษ์ขั้นเทพ			
COSTUME TYPE	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
Hair	ผม			
Face	หน้า			
Eye	ตา			
Eyebrow	คิ้ว			
Mouth	ปาก			
Body	ตัว			
Hat	หมวก			
Shirt	เสื้อ			
Trousers	กระโปรง/กางเกง			
Shoe	รองเท้า			
Bag	กระเป๋๋า			
Accessories	เครื่องประดับ			
MINIGAME_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
mini_001	เกมหมุ่นกงล้อแห่งโชคชะตา	เกมหมุ่นกงล้อแห่งโชคชะตา หมุนกงล้อแห่งโชคชะตาเพื่อเล่น		
mini_002	เกมกระโดดตามสี	เกมกระโดดตามสี กระโดดไปที่ที่ถูกต้อง		
mini_003	เกมจับคู่	เกมจับคู่ จับคู่ภาพที่เหมือนกัน		
mini_004	เกมเตะลูกโทษ	เกมเตะลูกโทษ เตะบอลให้เข้าโกล		
GENERAL	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
contained_sensitive_word	มีคำต้องห้าม	ไม่เอา ไม่พูดดด หยั่มมาหยาบคาย	Failed	Your input contains a sensitive word.
